Query,Time,Value,Unit
"name=""joe biden"" AND channel=""CNN""",2011-11-26,27.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-01,31.07,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-02,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-03,27.015,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-04,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-05,9.006,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-09,15.012,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-10,15.012,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-11,12.009,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-14,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-19,168.562,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-20,199.599,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-22,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-23,84.054,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-27,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-28,6,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-29,3,seconds
"name=""joe biden"" AND channel=""CNN""",2011-12-31,3,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-01,6,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-07,12.006,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-08,6.003,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-09,15.009,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-13,33.021,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-17,30.021,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-18,12.009,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-22,3,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-23,9,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-24,2253.012,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-25,6742.222,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-26,192.12,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-27,3,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-28,162.132,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-29,132.088,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-30,168.108,seconds
"name=""joe biden"" AND channel=""CNN""",2012-01-31,30.012,seconds
"name=""joe biden"" AND channel=""CNN""",2012-02-01,3,seconds
"name=""joe biden"" AND channel=""CNN""",2012-02-02,15.006,seconds
"name=""joe biden"" AND channel=""CNN""",2012-02-06,12.009,seconds
"name=""joe biden"" AND channel=""CNN""",2012-02-09,12,seconds
"name=""joe biden"" AND channel=""CNN""",2012-02-10,18.003,seconds
"name=""joe biden"" AND channel=""CNN""",2012-02-11,6,seconds
